nohup: ignoring input
/DATA/raghvendra3088/Implementation-of-IIDM/src/train.py:166: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler  = GradScaler(enabled=use_amp)

=======================================================
  IIDM Training
=======================================================
  Device     : cuda
  Epochs     : 200
  Batch size : 4
  LR         : 0.0001

  Loading datasets ...
  [train] 7475 patches
  [val] 1601 patches
  Train batches : 1868
  Val   batches : 401

  Initializing IIDM model ...
  Trainable params : 77.42M

  Starting training from epoch 1 ...

/DATA/raghvendra3088/Implementation-of-IIDM/src/train.py:202: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast(enabled=use_amp):
  Ep 002 | step 0300/1868 | loss=1.2083 | diff=0.7736 | kd=0.5714 | recon=0.3776 | t=24s
  Ep 002 | step 0350/1868 | loss=1.2461 | diff=0.7784 | kd=0.8216 | recon=0.3856 | t=28s
  Ep 002 | step 0400/1868 | loss=1.1941 | diff=0.7775 | kd=0.3871 | recon=0.3779 | t=32s
  Ep 002 | step 0450/1868 | loss=1.2297 | diff=0.7747 | kd=0.8833 | recon=0.3667 | t=35s
  Ep 002 | step 0500/1868 | loss=1.2763 | diff=0.7707 | kd=0.7445 | recon=0.4312 | t=39s
  Ep 002 | step 0550/1868 | loss=1.2241 | diff=0.7709 | kd=0.6802 | recon=0.3853 | t=43s
  Ep 002 | step 0600/1868 | loss=1.2141 | diff=0.7625 | kd=0.6038 | recon=0.3912 | t=47s
  Ep 002 | step 0650/1868 | loss=1.1668 | diff=0.7627 | kd=0.6652 | recon=0.3376 | t=51s
  Ep 002 | step 0700/1868 | loss=1.3500 | diff=0.7590 | kd=0.4768 | recon=0.5432 | t=55s
  Ep 002 | step 0750/1868 | loss=1.2666 | diff=0.8155 | kd=0.6969 | recon=0.3814 | t=59s
  Ep 002 | step 0800/1868 | loss=1.1579 | diff=0.7585 | kd=0.5463 | recon=0.3448 | t=63s
  Ep 002 | step 0850/1868 | loss=1.3604 | diff=0.7588 | kd=1.0249 | recon=0.4991 | t=67s
  Ep 002 | step 0900/1868 | loss=1.1979 | diff=0.7529 | kd=0.6126 | recon=0.3837 | t=70s
  Ep 002 | step 0950/1868 | loss=1.2834 | diff=0.7607 | kd=0.9542 | recon=0.4272 | t=74s
  Ep 002 | step 1000/1868 | loss=1.2900 | diff=0.8178 | kd=0.8951 | recon=0.3827 | t=78s
  Ep 002 | step 1050/1868 | loss=1.2820 | diff=0.7525 | kd=0.5862 | recon=0.4709 | t=82s
  Ep 002 | step 1100/1868 | loss=1.2465 | diff=0.7489 | kd=0.7826 | recon=0.4194 | t=86s
  Ep 002 | step 1150/1868 | loss=1.2137 | diff=0.7617 | kd=0.5767 | recon=0.3943 | t=90s
  Ep 002 | step 1200/1868 | loss=1.2449 | diff=0.7527 | kd=0.7338 | recon=0.4188 | t=94s
  Ep 002 | step 1250/1868 | loss=1.2155 | diff=0.7442 | kd=0.5463 | recon=0.4166 | t=98s
  Ep 002 | step 1300/1868 | loss=1.2733 | diff=0.8144 | kd=0.6111 | recon=0.3979 | t=102s
  Ep 002 | step 1350/1868 | loss=1.1717 | diff=0.7428 | kd=0.5384 | recon=0.3751 | t=105s
  Ep 002 | step 1400/1868 | loss=1.2227 | diff=0.7414 | kd=0.6611 | recon=0.4152 | t=109s
  Ep 002 | step 1450/1868 | loss=1.1750 | diff=0.7630 | kd=0.6376 | recon=0.3483 | t=113s
  Ep 002 | step 1500/1868 | loss=1.2108 | diff=0.7435 | kd=0.7913 | recon=0.3882 | t=117s
  Ep 002 | step 1550/1868 | loss=1.1476 | diff=0.7445 | kd=0.4670 | recon=0.3563 | t=121s
  Ep 002 | step 1600/1868 | loss=1.2649 | diff=0.7372 | kd=0.6946 | recon=0.4582 | t=125s
  Ep 002 | step 1650/1868 | loss=1.2668 | diff=0.7345 | kd=1.0602 | recon=0.4263 | t=129s
  Ep 002 | step 1700/1868 | loss=1.1961 | diff=0.7370 | kd=0.5488 | recon=0.4043 | t=133s
