
=======================================================
  IIDM Training
=======================================================
  Device     : cuda
  Epochs     : 15
  Batch size : 2
  LR         : 0.0002

  Loading datasets ...
  [train] 7475 patches
  [val] 1601 patches
  Train batches : 3737
  Val   batches : 801

  Initializing IIDM model ...
  Trainable params : 78.56M

  Starting training from epoch 1 ...

  Ep 001 | step 2600/3737 | loss=1.0557 | diff=0.8089 | kd=1.9999 | recon=0.1234 | t=478s
  Ep 001 | step 2650/3737 | loss=0.9942 | diff=0.8173 | kd=2.0063 | recon=0.0885 | t=487s
  Ep 001 | step 2700/3737 | loss=1.0280 | diff=0.8889 | kd=1.9926 | recon=0.0695 | t=497s
  Ep 001 | step 2750/3737 | loss=1.0906 | diff=0.8138 | kd=1.9928 | recon=0.1384 | t=506s
  Ep 001 | step 2800/3737 | loss=1.0373 | diff=0.8343 | kd=1.9862 | recon=0.1015 | t=515s
  Ep 001 | step 2850/3737 | loss=1.3760 | diff=0.8103 | kd=1.9918 | recon=0.2828 | t=524s
  Ep 001 | step 2900/3737 | loss=1.0543 | diff=0.8149 | kd=1.9845 | recon=0.1197 | t=534s
  Ep 001 | step 2950/3737 | loss=0.9531 | diff=0.8089 | kd=1.9954 | recon=0.0721 | t=543s
  Ep 001 | step 3000/3737 | loss=1.1161 | diff=0.8270 | kd=1.9870 | recon=0.1446 | t=552s
  Ep 001 | step 3050/3737 | loss=0.9661 | diff=0.8014 | kd=2.0133 | recon=0.0823 | t=561s
  Ep 001 | step 3100/3737 | loss=1.0988 | diff=0.8039 | kd=1.9916 | recon=0.1475 | t=571s
  Ep 001 | step 3150/3737 | loss=0.9760 | diff=0.8041 | kd=1.9987 | recon=0.0860 | t=580s
  Ep 001 | step 3200/3737 | loss=0.9915 | diff=0.7990 | kd=1.9794 | recon=0.0963 | t=589s
  Ep 001 | step 3250/3737 | loss=1.1042 | diff=0.9077 | kd=1.9870 | recon=0.0982 | t=599s
  Ep 001 | step 3300/3737 | loss=1.4281 | diff=0.8014 | kd=1.9921 | recon=0.3133 | t=608s
  Ep 001 | step 3350/3737 | loss=1.0042 | diff=0.8330 | kd=1.9849 | recon=0.0856 | t=617s
  Ep 001 | step 3400/3737 | loss=0.9610 | diff=0.7870 | kd=2.0102 | recon=0.0870 | t=626s
  Ep 001 | step 3450/3737 | loss=0.9248 | diff=0.7959 | kd=1.9947 | recon=0.0644 | t=636s
  Ep 001 | step 3500/3737 | loss=0.9706 | diff=0.7876 | kd=1.9829 | recon=0.0915 | t=645s
  Ep 001 | step 3550/3737 | loss=1.1408 | diff=0.7882 | kd=1.9913 | recon=0.1763 | t=655s
  Ep 001 | step 3600/3737 | loss=1.2217 | diff=0.7869 | kd=2.0021 | recon=0.2174 | t=664s
  Ep 001 | step 3650/3737 | loss=0.9240 | diff=0.7872 | kd=1.9911 | recon=0.0684 | t=673s
  Ep 001 | step 3700/3737 | loss=0.9859 | diff=0.7944 | kd=2.0062 | recon=0.0958 | t=681s

  ── Epoch 001/15 (778s) ──────────────────────
  Train  loss=1.1843  diff=0.8726  kd=1.9948  recon=0.1559
  Val    loss=1.0654  RMSE=0.1581  MAE=0.1161  lr=9.89e-05
  [BEST] Checkpoint saved → checkpoints/best_model.pth

  Ep 002 | step 0000/3737 | loss=1.0877 | diff=0.9101 | kd=1.9820 | recon=0.0888 | t=0s
  Ep 002 | step 0050/3737 | loss=0.9827 | diff=0.8252 | kd=1.9878 | recon=0.0787 | t=10s
  Ep 002 | step 0100/3737 | loss=1.0073 | diff=0.7900 | kd=1.9989 | recon=0.1086 | t=19s
  Ep 002 | step 0150/3737 | loss=1.0115 | diff=0.8731 | kd=1.9803 | recon=0.0692 | t=28s
  Ep 002 | step 0200/3737 | loss=0.9330 | diff=0.7778 | kd=1.9879 | recon=0.0776 | t=37s
  Ep 002 | step 0250/3737 | loss=1.0619 | diff=0.8130 | kd=1.9867 | recon=0.1244 | t=46s
  Ep 002 | step 0300/3737 | loss=0.9519 | diff=0.7774 | kd=1.9915 | recon=0.0873 | t=56s
  Ep 002 | step 0350/3737 | loss=0.9525 | diff=0.7903 | kd=2.0032 | recon=0.0811 | t=65s
  Ep 002 | step 0400/3737 | loss=1.2986 | diff=0.8125 | kd=1.9949 | recon=0.2430 | t=74s
  Ep 002 | step 0450/3737 | loss=1.0370 | diff=0.8894 | kd=1.9904 | recon=0.0738 | t=84s
  Ep 002 | step 0500/3737 | loss=0.9144 | diff=0.7780 | kd=1.9837 | recon=0.0682 | t=93s
  Ep 002 | step 0550/3737 | loss=1.1720 | diff=0.7701 | kd=2.0034 | recon=0.2010 | t=102s
  Ep 002 | step 0600/3737 | loss=0.9666 | diff=0.7721 | kd=1.9841 | recon=0.0972 | t=111s
  Ep 002 | step 0650/3737 | loss=0.9865 | diff=0.8283 | kd=1.9877 | recon=0.0791 | t=121s
  Ep 002 | step 0700/3737 | loss=1.0697 | diff=0.9044 | kd=1.9930 | recon=0.0827 | t=130s
  Ep 002 | step 0750/3737 | loss=0.9541 | diff=0.7733 | kd=2.0063 | recon=0.0904 | t=139s
  Ep 002 | step 0800/3737 | loss=0.9018 | diff=0.7762 | kd=1.9825 | recon=0.0628 | t=149s
  Ep 002 | step 0850/3737 | loss=0.9931 | diff=0.7670 | kd=2.0007 | recon=0.1130 | t=158s
  Ep 002 | step 0900/3737 | loss=0.9705 | diff=0.7927 | kd=1.9893 | recon=0.0889 | t=167s
